2.57122e-03 1.00196e-03
5.98287e-03 5.27817e-03
9.39374e-03 1.29670e-02
1.27959e-02 2.40627e-02
1.61856e-02 3.85546e-02
1.95595e-02 5.64286e-02
2.29143e-02 7.76672e-02
2.62468e-02 1.02250e-01
2.95536e-02 1.30152e-01
3.28315e-02 1.61347e-01
3.60773e-02 1.95804e-01
3.92879e-02 2.33490e-01
4.24601e-02 2.74367e-01
4.55908e-02 3.18397e-01
4.86770e-02 3.65534e-01
5.17156e-02 4.15735e-01
5.47037e-02 4.68949e-01
5.76383e-02 5.25124e-01
6.05166e-02 5.84206e-01
6.33358e-02 6.46138e-01
6.60931e-02 7.10857e-01
6.87858e-02 7.78302e-01
7.14113e-02 8.48407e-01
7.39670e-02 9.21102e-01
7.64505e-02 9.96317e-01
7.88593e-02 1.07398e+00
8.11910e-02 1.15401e+00
8.34434e-02 1.23633e+00
8.56142e-02 1.32087e+00
8.77014e-02 1.40753e+00
8.97029e-02 1.49624e+00
9.16168e-02 1.58691e+00
9.34411e-02 1.67945e+00
9.51741e-02 1.77376e+00
9.68142e-02 1.86976e+00
9.83596e-02 1.96736e+00
9.98090e-02 2.06645e+00
1.01161e-01 2.16694e+00
1.02414e-01 2.26874e+00
1.03567e-01 2.37174e+00
1.04618e-01 2.47584e+00
1.05568e-01 2.58094e+00
1.06414e-01 2.68694e+00
1.07157e-01 2.79374e+00
1.07794e-01 2.90122e+00
1.08327e-01 3.00929e+00
1.08753e-01 3.11784e+00
1.09073e-01 3.22676e+00
1.09287e-01 3.33595e+00
1.09394e-01 3.44530e+00
1.09394e-01 3.55470e+00
1.09287e-01 3.66405e+00
1.09073e-01 3.77324e+00
1.08753e-01 3.88216e+00
1.08327e-01 3.99071e+00
1.00196e-03 1.00196e-03 -2.12700e+00
1.00196e-03 5.27817e-03 -2.12695e+00
1.00196e-03 1.29670e-02 -2.12664e+00
1.00196e-03 2.40627e-02 -2.12576e+00
1.00196e-03 3.85546e-02 -2.12381e+00
1.00196e-03 5.64286e-02 -2.12018e+00
1.00196e-03 7.76672e-02 -2.11411e+00
1.00196e-03 1.02250e-01 -2.10475e+00
1.00196e-03 1.30152e-01 -2.09116e+00
1.00196e-03 1.61347e-01 -2.07239e+00
1.00196e-03 1.95804e-01 -2.04746e+00
1.00196e-03 2.33490e-01 -2.01548e+00
1.00196e-03 2.74367e-01 -1.97565e+00
1.00196e-03 3.18397e-01 -1.92730e+00
1.00196e-03 3.65534e-01 -1.86991e+00
1.00196e-03 4.15735e-01 -1.80310e+00
1.00196e-03 4.68949e-01 -1.72660e+00
1.00196e-03 5.25124e-01 -1.64022e+00
1.00196e-03 5.84206e-01 -1.54384e+00
1.00196e-03 6.46138e-01 -1.43747e+00
1.00196e-03 7.10857e-01 -1.32131e+00
1.00196e-03 7.78302e-01 -1.19590e+00
1.00196e-03 8.48407e-01 -1.06237e+00
1.00196e-03 9.21102e-01 -9.22576e-01
1.00196e-03 9.96317e-01 -7.79366e-01
1.00196e-03 1.07398e+00 -6.36609e-01
1.00196e-03 1.15401e+00 -4.99097e-01
1.00196e-03 1.23633e+00 -3.72141e-01
1.00196e-03 1.32087e+00 -2.60891e-01
1.00196e-03 1.40753e+00 -1.69434e-01
1.00196e-03 1.49624e+00 -9.99061e-02
1.00196e-03 1.58691e+00 -5.19207e-02
1.00196e-03 1.67945e+00 -2.26080e-02
1.00196e-03 1.77376e+00 -7.36763e-03
1.00196e-03 1.86976e+00 -1.10306e-03
