2.57122e-03 1.00196e-03
5.98287e-03 5.27817e-03
9.39374e-03 1.29670e-02
1.27959e-02 2.40627e-02
1.61856e-02 3.85546e-02
1.95595e-02 5.64286e-02
2.29143e-02 7.76672e-02
2.62468e-02 1.02250e-01
2.95536e-02 1.30152e-01
3.28315e-02 1.61347e-01
3.60773e-02 1.95804e-01
3.92879e-02 2.33490e-01
4.24601e-02 2.74367e-01
4.55908e-02 3.18397e-01
4.86770e-02 3.65534e-01
5.17156e-02 4.15735e-01
5.47037e-02 4.68949e-01
5.76383e-02 5.25124e-01
6.05166e-02 5.84206e-01
6.33358e-02 6.46138e-01
6.60931e-02 7.10857e-01
6.87858e-02 7.78302e-01
7.14113e-02 8.48407e-01
7.39670e-02 9.21102e-01
7.64505e-02 9.96317e-01
7.88593e-02 1.07398e+00
8.11910e-02 1.15401e+00
8.34434e-02 1.23633e+00
8.56142e-02 1.32087e+00
8.77014e-02 1.40753e+00
8.97029e-02 1.49624e+00
9.16168e-02 1.58691e+00
9.34411e-02 1.67945e+00
9.51741e-02 1.77376e+00
9.68142e-02 1.86976e+00
9.83596e-02 1.96736e+00
9.98090e-02 2.06645e+00
1.01161e-01 2.16694e+00
1.02414e-01 2.26874e+00
1.03567e-01 2.37174e+00
1.04618e-01 2.47584e+00
1.05568e-01 2.58094e+00
1.06414e-01 2.68694e+00
1.07157e-01 2.79374e+00
1.07794e-01 2.90122e+00
1.08327e-01 3.00929e+00
1.08753e-01 3.11784e+00
1.09073e-01 3.22676e+00
1.09287e-01 3.33595e+00
1.09394e-01 3.44530e+00
1.09394e-01 3.55470e+00
1.09287e-01 3.66405e+00
1.09073e-01 3.77324e+00
1.08753e-01 3.88216e+00
1.08327e-01 3.99071e+00
1.07794e-01 4.09878e+00
1.07157e-01 4.20626e+00
1.06414e-01 4.31306e+00
1.05568e-01 4.41906e+00
1.04618e-01 4.52416e+00
1.00196e-03 1.00196e-03 -1.99753e+00
1.00196e-03 5.27817e-03 -1.99748e+00
1.00196e-03 1.29670e-02 -1.99719e+00
1.00196e-03 2.40627e-02 -1.99635e+00
1.00196e-03 3.85546e-02 -1.99450e+00
1.00196e-03 5.64286e-02 -1.99104e+00
1.00196e-03 7.76672e-02 -1.98526e+00
1.00196e-03 1.02250e-01 -1.97638e+00
1.00196e-03 1.30152e-01 -1.96352e+00
1.00196e-03 1.61347e-01 -1.94582e+00
1.00196e-03 1.95804e-01 -1.92245e+00
1.00196e-03 2.33490e-01 -1.89267e+00
1.00196e-03 2.74367e-01 -1.85593e+00
1.00196e-03 3.18397e-01 -1.81186e+00
1.00196e-03 3.65534e-01 -1.76032e+00
1.00196e-03 4.15735e-01 -1.70139e+00
1.00196e-03 4.68949e-01 -1.63529e+00
1.00196e-03 5.25124e-01 -1.56241e+00
1.00196e-03 5.84206e-01 -1.48318e+00
1.00196e-03 6.46138e-01 -1.39807e+00
1.00196e-03 7.10857e-01 -1.30755e+00
1.00196e-03 7.78302e-01 -1.21208e+00
1.00196e-03 8.48407e-01 -1.11221e+00
1.00196e-03 9.21102e-01 -1.00854e+00
1.00196e-03 9.96317e-01 -9.01841e-01
1.00196e-03 1.07398e+00 -7.93126e-01
1.00196e-03 1.15401e+00 -6.83672e-01
1.00196e-03 1.23633e+00 -5.75072e-01
1.00196e-03 1.32087e+00 -4.69236e-01
1.00196e-03 1.40753e+00 -3.68334e-01
1.00196e-03 1.49624e+00 -2.74697e-01
1.00196e-03 1.58691e+00 -1.90653e-01
1.00196e-03 1.67945e+00 -1.18302e-01
1.00196e-03 1.77376e+00 -5.92684e-02
1.00196e-03 1.86976e+00 -1.44419e-02
1.00196e-03 1.96736e+00 1.62250e-02
1.00196e-03 2.06645e+00 3.38203e-02
1.00196e-03 2.16694e+00 4.04178e-02
1.00196e-03 2.26874e+00 3.88375e-02
1.00196e-03 2.37174e+00 3.22357e-02
1.00196e-03 2.47584e+00 2.35984e-02
1.00196e-03 2.58094e+00 1.52671e-02
1.00196e-03 2.68694e+00 8.64592e-03
1.00196e-03 2.79374e+00 4.18836e-03
1.00196e-03 2.90122e+00 1.64631e-03
1.00196e-03 3.00929e+00 4.44521e-04
1.00196e-03 3.11784e+00 4.02144e-06
1.00196e-03 3.22676e+00 -9.06637e-05
1.00196e-03 3.33595e+00 -7.07942e-05
1.00196e-03 3.44530e+00 -3.54601e-05
1.00196e-03 3.55470e+00 -1.27049e-05
1.00196e-03 3.66405e+00 -2.62174e-06
1.00196e-03 3.77324e+00 5.17568e-07
1.00196e-03 3.88216e+00 8.26842e-07
1.00196e-03 3.99071e+00 3.06717e-07
1.00196e-03 4.09878e+00 6.88608e-08
1.00196e-03 4.20626e+00 1.11643e-06
1.00196e-03 4.31306e+00 3.69479e-06
1.00196e-03 4.41906e+00 4.93731e-06
1.00196e-03 4.52416e+00 4.24929e-06
5.27817e-03 1.00196e-03 -1.99748e+00
5.27817e-03 5.27817e-03 -1.99742e+00
5.27817e-03 1.29670e-02 -1.99714e+00
5.27817e-03 2.40627e-02 -1.99630e+00
5.27817e-03 3.85546e-02 -1.99444e+00
5.27817e-03 5.64286e-02 -1.99098e+00
5.27817e-03 7.76672e-02 -1.98521e+00
5.27817e-03 1.02250e-01 -1.97633e+00
5.27817e-03 1.30152e-01 -1.96347e+00
5.27817e-03 1.61347e-01 -1.94577e+00
5.27817e-03 1.95804e-01 -1.92240e+00
5.27817e-03 2.33490e-01 -1.89263e+00
5.27817e-03 2.74367e-01 -1.85589e+00
5.27817e-03 3.18397e-01 -1.81183e+00
5.27817e-03 3.65534e-01 -1.76029e+00
5.27817e-03 4.15735e-01 -1.70136e+00
5.27817e-03 4.68949e-01 -1.63527e+00
5.27817e-03 5.25124e-01 -1.56239e+00
5.27817e-03 5.84206e-01 -1.48316e+00
5.27817e-03 6.46138e-01 -1.39806e+00
5.27817e-03 7.10857e-01 -1.30753e+00
5.27817e-03 7.78302e-01 -1.21207e+00
5.27817e-03 8.48407e-01 -1.11220e+00
5.27817e-03 9.21102e-01 -1.00853e+00
5.27817e-03 9.96317e-01 -9.01836e-01
5.27817e-03 1.07398e+00 -7.93122e-01
5.27817e-03 1.15401e+00 -6.83669e-01
5.27817e-03 1.23633e+00 -5.75070e-01
5.27817e-03 1.32087e+00 -4.69235e-01
5.27817e-03 1.40753e+00 -3.68333e-01
5.27817e-03 1.49624e+00 -2.74697e-01
5.27817e-03 1.58691e+00 -1.90653e-01
5.27817e-03 1.67945e+00 -1.18303e-01
5.27817e-03 1.77376e+00 -5.92687e-02
5.27817e-03 1.86976e+00 -1.44421e-02
5.27817e-03 1.96736e+00 1.62251e-02
5.27817e-03 2.06645e+00 3.38206e-02
5.27817e-03 2.16694e+00 4.04183e-02
5.27817e-03 2.26874e+00 3.88381e-02
5.27817e-03 2.37174e+00 3.22363e-02
5.27817e-03 2.47584e+00 2.35989e-02
5.27817e-03 2.58094e+00 1.52675e-02
5.27817e-03 2.68694e+00 8.64618e-03
5.27817e-03 2.79374e+00 4.18851e-03
5.27817e-03 2.90122e+00 1.64639e-03
5.27817e-03 3.00929e+00 4.44559e-04
5.27817e-03 3.11784e+00 4.03635e-06
5.27817e-03 3.22676e+00 -9.06590e-05
5.27817e-03 3.33595e+00 -7.07931e-05
5.27817e-03 3.44530e+00 -3.54600e-05
5.27817e-03 3.55470e+00 -1.27050e-05
5.27817e-03 3.66405e+00 -2.62178e-06
5.27817e-03 3.77324e+00 5.17558e-07
5.27817e-03 3.88216e+00 8.26851e-07
5.27817e-03 3.99071e+00 3.06732e-07
5.27817e-03 4.09878e+00 6.88533e-08
5.27817e-03 4.20626e+00 1.11636e-06
5.27817e-03 4.31306e+00 3.69466e-06
5.27817e-03 4.41906e+00 4.93728e-06
5.27817e-03 4.52416e+00 4.24907e-06
1.29670e-02 1.00196e-03 -1.99719e+00
1.29670e-02 5.27817e-03 -1.99714e+00
1.29670e-02 1.29670e-02 -1.99685e+00
1.29670e-02 2.40627e-02 -1.99601e+00
1.29670e-02 3.85546e-02 -1.99415e+00
1.29670e-02 5.64286e-02 -1.99070e+00
1.29670e-02 7.76672e-02 -1.98493e+00
1.29670e-02 1.02250e-01 -1.97605e+00
1.29670e-02 1.30152e-01 -1.96320e+00
1.29670e-02 1.61347e-01 -1.94552e+00
1.29670e-02 1.95804e-01 -1.92216e+00
1.29670e-02 2.33490e-01 -1.89240e+00
1.29670e-02 2.74367e-01 -1.85568e+00
1.29670e-02 3.18397e-01 -1.81163e+00
1.29670e-02 3.65534e-01 -1.76012e+00
1.29670e-02 4.15735e-01 -1.70120e+00
1.29670e-02 4.68949e-01 -1.63513e+00
1.29670e-02 5.25124e-01 -1.56227e+00
1.29670e-02 5.84206e-01 -1.48307e+00
1.29670e-02 6.46138e-01 -1.39797e+00
1.29670e-02 7.10857e-01 -1.30746e+00
1.29670e-02 7.78302e-01 -1.21201e+00
1.29670e-02 8.48407e-01 -1.11215e+00
1.29670e-02 9.21102e-01 -1.00849e+00
1.29670e-02 9.96317e-01 -9.01806e-01
1.29670e-02 1.07398e+00 -7.93100e-01
1.29670e-02 1.15401e+00 -6.83654e-01
1.29670e-02 1.23633e+00 -5.75061e-01
1.29670e-02 1.32087e+00 -4.69230e-01
1.29670e-02 1.40753e+00 -3.68332e-01
1.29670e-02 1.49624e+00 -2.74698e-01
1.29670e-02 1.58691e+00 -1.90655e-01
1.29670e-02 1.67945e+00 -1.18305e-01
1.29670e-02 1.77376e+00 -5.92704e-02
1.29670e-02 1.86976e+00 -1.44428e-02
1.29670e-02 1.96736e+00 1.62255e-02
1.29670e-02 2.06645e+00 3.38222e-02
1.29670e-02 2.16694e+00 4.04208e-02
1.29670e-02 2.26874e+00 3.88410e-02
1.29670e-02 2.37174e+00 3.22392e-02
1.29670e-02 2.47584e+00 2.36014e-02
1.29670e-02 2.58094e+00 1.52694e-02
1.29670e-02 2.68694e+00 8.64751e-03
1.29670e-02 2.79374e+00 4.18932e-03
1.29670e-02 2.90122e+00 1.64682e-03
1.29670e-02 3.00929e+00 4.44757e-04
1.29670e-02 3.11784e+00 4.11428e-06
1.29670e-02 3.22676e+00 -9.06342e-05
1.29670e-02 3.33595e+00 -7.07875e-05
1.29670e-02 3.44530e+00 -3.54596e-05
1.29670e-02 3.55470e+00 -1.27053e-05
1.29670e-02 3.66405e+00 -2.62199e-06
1.29670e-02 3.77324e+00 5.17508e-07
1.29670e-02 3.88216e+00 8.26901e-07
1.29670e-02 3.99071e+00 3.06808e-07
1.29670e-02 4.09878e+00 6.88143e-08
1.29670e-02 4.20626e+00 1.11599e-06
1.29670e-02 4.31306e+00 3.69399e-06
1.29670e-02 4.41906e+00 4.93708e-06
1.29670e-02 4.52416e+00 4.24789e-06
2.40627e-02 1.00196e-03 -1.99635e+00
2.40627e-02 5.27817e-03 -1.99630e+00
2.40627e-02 1.29670e-02 -1.99601e+00
2.40627e-02 2.40627e-02 -1.99517e+00
2.40627e-02 3.85546e-02 -1.99332e+00
2.40627e-02 5.64286e-02 -1.98987e+00
2.40627e-02 7.76672e-02 -1.98411e+00
2.40627e-02 1.02250e-01 -1.97525e+00
2.40627e-02 1.30152e-01 -1.96242e+00
2.40627e-02 1.61347e-01 -1.94476e+00
2.40627e-02 1.95804e-01 -1.92144e+00
2.40627e-02 2.33490e-01 -1.89173e+00
2.40627e-02 2.74367e-01 -1.85506e+00
2.40627e-02 3.18397e-01 -1.81107e+00
2.40627e-02 3.65534e-01 -1.75961e+00
2.40627e-02 4.15735e-01 -1.70075e+00
2.40627e-02 4.68949e-01 -1.63474e+00
2.40627e-02 5.25124e-01 -1.56193e+00
2.40627e-02 5.84206e-01 -1.48278e+00
2.40627e-02 6.46138e-01 -1.39773e+00
2.40627e-02 7.10857e-01 -1.30726e+00
2.40627e-02 7.78302e-01 -1.21184e+00
2.40627e-02 8.48407e-01 -1.11201e+00
2.40627e-02 9.21102e-01 -1.00838e+00
2.40627e-02 9.96317e-01 -9.01720e-01
2.40627e-02 1.07398e+00 -7.93036e-01
2.40627e-02 1.15401e+00 -6.83609e-01
2.40627e-02 1.23633e+00 -5.75033e-01
2.40627e-02 1.32087e+00 -4.69215e-01
2.40627e-02 1.40753e+00 -3.68327e-01
2.40627e-02 1.49624e+00 -2.74700e-01
2.40627e-02 1.58691e+00 -1.90661e-01
2.40627e-02 1.67945e+00 -1.18311e-01
2.40627e-02 1.77376e+00 -5.92754e-02
2.40627e-02 1.86976e+00 -1.44449e-02
2.40627e-02 1.96736e+00 1.62270e-02
2.40627e-02 2.06645e+00 3.38270e-02
2.40627e-02 2.16694e+00 4.04280e-02
2.40627e-02 2.26874e+00 3.88495e-02
2.40627e-02 2.37174e+00 3.22476e-02
2.40627e-02 2.47584e+00 2.36088e-02
2.40627e-02 2.58094e+00 1.52751e-02
2.40627e-02 2.68694e+00 8.65140e-03
2.40627e-02 2.79374e+00 4.19168e-03
2.40627e-02 2.90122e+00 1.64808e-03
2.40627e-02 3.00929e+00 4.45339e-04
2.40627e-02 3.11784e+00 4.34261e-06
2.40627e-02 3.22676e+00 -9.05618e-05
2.40627e-02 3.33595e+00 -7.07712e-05
2.40627e-02 3.44530e+00 -3.54584e-05
2.40627e-02 3.55470e+00 -1.27064e-05
2.40627e-02 3.66405e+00 -2.62262e-06
2.40627e-02 3.77324e+00 5.17363e-07
2.40627e-02 3.88216e+00 8.27044e-07
2.40627e-02 3.99071e+00 3.07032e-07
2.40627e-02 4.09878e+00 6.87002e-08
2.40627e-02 4.20626e+00 1.11492e-06
2.40627e-02 4.31306e+00 3.69202e-06
2.40627e-02 4.41906e+00 4.93651e-06
2.40627e-02 4.52416e+00 4.24445e-06
3.85546e-02 1.00196e-03 -1.99450e+00
3.85546e-02 5.27817e-03 -1.99444e+00
3.85546e-02 1.29670e-02 -1.99415e+00
3.85546e-02 2.40627e-02 -1.99332e+00
3.85546e-02 3.85546e-02 -1.99148e+00
3.85546e-02 5.64286e-02 -1.98804e+00
3.85546e-02 7.76672e-02 -1.98230e+00
3.85546e-02 1.02250e-01 -1.97348e+00
3.85546e-02 1.30152e-01 -1.96070e+00
3.85546e-02 1.61347e-01 -1.94310e+00
3.85546e-02 1.95804e-01 -1.91986e+00
3.85546e-02 2.33490e-01 -1.89025e+00
3.85546e-02 2.74367e-01 -1.85369e+00
3.85546e-02 3.18397e-01 -1.80982e+00
3.85546e-02 3.65534e-01 -1.75849e+00
3.85546e-02 4.15735e-01 -1.69976e+00
3.85546e-02 4.68949e-01 -1.63387e+00
3.85546e-02 5.25124e-01 -1.56119e+00
3.85546e-02 5.84206e-01 -1.48213e+00
3.85546e-02 6.46138e-01 -1.39718e+00
3.85546e-02 7.10857e-01 -1.30680e+00
3.85546e-02 7.78302e-01 -1.21146e+00
3.85546e-02 8.48407e-01 -1.11170e+00
3.85546e-02 9.21102e-01 -1.00813e+00
3.85546e-02 9.96317e-01 -9.01529e-01
3.85546e-02 1.07398e+00 -7.92894e-01
3.85546e-02 1.15401e+00 -6.83510e-01
3.85546e-02 1.23633e+00 -5.74970e-01
3.85546e-02 1.32087e+00 -4.69182e-01
3.85546e-02 1.40753e+00 -3.68316e-01
3.85546e-02 1.49624e+00 -2.74704e-01
3.85546e-02 1.58691e+00 -1.90673e-01
3.85546e-02 1.67945e+00 -1.18325e-01
3.85546e-02 1.77376e+00 -5.92864e-02
3.85546e-02 1.86976e+00 -1.44496e-02
3.85546e-02 1.96736e+00 1.62301e-02
3.85546e-02 2.06645e+00 3.38375e-02
3.85546e-02 2.16694e+00 4.04441e-02
3.85546e-02 2.26874e+00 3.88683e-02
3.85546e-02 2.37174e+00 3.22663e-02
3.85546e-02 2.47584e+00 2.36251e-02
3.85546e-02 2.58094e+00 1.52877e-02
3.85546e-02 2.68694e+00 8.66001e-03
3.85546e-02 2.79374e+00 4.19689e-03
3.85546e-02 2.90122e+00 1.65086e-03
3.85546e-02 3.00929e+00 4.46624e-04
3.85546e-02 3.11784e+00 4.84749e-06
3.85546e-02 3.22676e+00 -9.04014e-05
3.85546e-02 3.33595e+00 -7.07350e-05
3.85546e-02 3.44530e+00 -3.54557e-05
3.85546e-02 3.55470e+00 -1.27087e-05
3.85546e-02 3.66405e+00 -2.62401e-06
3.85546e-02 3.77324e+00 5.17041e-07
3.85546e-02 3.88216e+00 8.27361e-07
3.85546e-02 3.99071e+00 3.07527e-07
3.85546e-02 4.09878e+00 6.84493e-08
3.85546e-02 4.20626e+00 1.11255e-06
3.85546e-02 4.31306e+00 3.68768e-06
3.85546e-02 4.41906e+00 4.93524e-06
3.85546e-02 4.52416e+00 4.23689e-06
5.64286e-02 1.00196e-03 -1.99104e+00
5.64286e-02 5.27817e-03 -1.99098e+00
5.64286e-02 1.29670e-02 -1.99070e+00
5.64286e-02 2.40627e-02 -1.98987e+00
5.64286e-02 3.85546e-02 -1.98804e+00
5.64286e-02 5.64286e-02 -1.98463e+00
5.64286e-02 7.76672e-02 -1.97894e+00
5.64286e-02 1.02250e-01 -1.97017e+00
5.64286e-02 1.30152e-01 -1.95748e+00
5.64286e-02 1.61347e-01 -1.94001e+00
5.64286e-02 1.95804e-01 -1.91692e+00
5.64286e-02 2.33490e-01 -1.88749e+00
5.64286e-02 2.74367e-01 -1.85114e+00
5.64286e-02 3.18397e-01 -1.80750e+00
5.64286e-02 3.65534e-01 -1.75640e+00
5.64286e-02 4.15735e-01 -1.69791e+00
5.64286e-02 4.68949e-01 -1.63225e+00
5.64286e-02 5.25124e-01 -1.55978e+00
5.64286e-02 5.84206e-01 -1.48093e+00
5.64286e-02 6.46138e-01 -1.39616e+00
5.64286e-02 7.10857e-01 -1.30594e+00
5.64286e-02 7.78302e-01 -1.21076e+00
5.64286e-02 8.48407e-01 -1.11112e+00
5.64286e-02 9.21102e-01 -1.00767e+00
5.64286e-02 9.96317e-01 -9.01171e-01
5.64286e-02 1.07398e+00 -7.92629e-01
5.64286e-02 1.15401e+00 -6.83325e-01
5.64286e-02 1.23633e+00 -5.74853e-01
5.64286e-02 1.32087e+00 -4.69120e-01
5.64286e-02 1.40753e+00 -3.68295e-01
5.64286e-02 1.49624e+00 -2.74712e-01
5.64286e-02 1.58691e+00 -1.90696e-01
5.64286e-02 1.67945e+00 -1.18352e-01
5.64286e-02 1.77376e+00 -5.93070e-02
5.64286e-02 1.86976e+00 -1.44583e-02
5.64286e-02 1.96736e+00 1.62359e-02
5.64286e-02 2.06645e+00 3.38572e-02
5.64286e-02 2.16694e+00 4.04740e-02
5.64286e-02 2.26874e+00 3.89035e-02
5.64286e-02 2.37174e+00 3.23014e-02
5.64286e-02 2.47584e+00 2.36556e-02
5.64286e-02 2.58094e+00 1.53112e-02
5.64286e-02 2.68694e+00 8.67613e-03
5.64286e-02 2.79374e+00 4.20666e-03
5.64286e-02 2.90122e+00 1.65606e-03
5.64286e-02 3.00929e+00 4.49033e-04
5.64286e-02 3.11784e+00 5.79425e-06
5.64286e-02 3.22676e+00 -9.01005e-05
5.64286e-02 3.33595e+00 -7.06669e-05
5.64286e-02 3.44530e+00 -3.54506e-05
5.64286e-02 3.55470e+00 -1.27129e-05
5.64286e-02 3.66405e+00 -2.62659e-06
5.64286e-02 3.77324e+00 5.16443e-07
5.64286e-02 3.88216e+00 8.27955e-07
5.64286e-02 3.99071e+00 3.08452e-07
5.64286e-02 4.09878e+00 6.79843e-08
5.64286e-02 4.20626e+00 1.10813e-06
5.64286e-02 4.31306e+00 3.67957e-06
5.64286e-02 4.41906e+00 4.93286e-06
5.64286e-02 4.52416e+00 4.22284e-06
7.76672e-02 1.00196e-03 -1.98526e+00
7.76672e-02 5.27817e-03 -1.98521e+00
7.76672e-02 1.29670e-02 -1.98493e+00
7.76672e-02 2.40627e-02 -1.98411e+00
7.76672e-02 3.85546e-02 -1.98230e+00
7.76672e-02 5.64286e-02 -1.97894e+00
7.76672e-02 7.76672e-02 -1.97331e+00
7.76672e-02 1.02250e-01 -1.96465e+00
7.76672e-02 1.30152e-01 -1.95212e+00
7.76672e-02 1.61347e-01 -1.93484e+00
7.76672e-02 1.95804e-01 -1.91200e+00
7.76672e-02 2.33490e-01 -1.88287e+00
7.76672e-02 2.74367e-01 -1.84686e+00
