2.57122e-03 1.00196e-03
5.98287e-03 5.27817e-03
9.39374e-03 1.29670e-02
1.27959e-02 2.40627e-02
1.61856e-02 3.85546e-02
1.95595e-02 5.64286e-02
2.29143e-02 7.76672e-02
2.62468e-02 1.02250e-01
2.95536e-02 1.30152e-01
3.28315e-02 1.61347e-01
3.60773e-02 1.95804e-01
3.92879e-02 2.33490e-01
4.24601e-02 2.74367e-01
4.55908e-02 3.18397e-01
4.86770e-02 3.65534e-01
5.17156e-02 4.15735e-01
5.47037e-02 4.68949e-01
5.76383e-02 5.25124e-01
6.05166e-02 5.84206e-01
6.33358e-02 6.46138e-01
6.60931e-02 7.10857e-01
6.87858e-02 7.78302e-01
7.14113e-02 8.48407e-01
7.39670e-02 9.21102e-01
7.64505e-02 9.96317e-01
7.88593e-02 1.07398e+00
8.11910e-02 1.15401e+00
8.34434e-02 1.23633e+00
8.56142e-02 1.32087e+00
8.77014e-02 1.40753e+00
8.97029e-02 1.49624e+00
9.16168e-02 1.58691e+00
9.34411e-02 1.67945e+00
9.51741e-02 1.77376e+00
9.68142e-02 1.86976e+00
9.83596e-02 1.96736e+00
9.98090e-02 2.06645e+00
1.01161e-01 2.16694e+00
1.02414e-01 2.26874e+00
1.03567e-01 2.37174e+00
1.04618e-01 2.47584e+00
1.05568e-01 2.58094e+00
1.06414e-01 2.68694e+00
1.07157e-01 2.79374e+00
1.07794e-01 2.90122e+00
1.08327e-01 3.00929e+00
1.08753e-01 3.11784e+00
1.09073e-01 3.22676e+00
1.09287e-01 3.33595e+00
1.09394e-01 3.44530e+00
1.09394e-01 3.55470e+00
1.09287e-01 3.66405e+00
1.09073e-01 3.77324e+00
1.08753e-01 3.88216e+00
1.08327e-01 3.99071e+00
1.07794e-01 4.09878e+00
1.07157e-01 4.20626e+00
1.06414e-01 4.31306e+00
1.05568e-01 4.41906e+00
1.04618e-01 4.52416e+00
1.03567e-01 4.62826e+00
1.00196e-03 1.00196e-03 -1.98763e+00
1.00196e-03 5.27817e-03 -1.98757e+00
1.00196e-03 1.29670e-02 -1.98729e+00
1.00196e-03 2.40627e-02 -1.98645e+00
1.00196e-03 3.85546e-02 -1.98460e+00
1.00196e-03 5.64286e-02 -1.98115e+00
1.00196e-03 7.76672e-02 -1.97540e+00
1.00196e-03 1.02250e-01 -1.96655e+00
1.00196e-03 1.30152e-01 -1.95375e+00
1.00196e-03 1.61347e-01 -1.93613e+00
1.00196e-03 1.95804e-01 -1.91286e+00
1.00196e-03 2.33490e-01 -1.88324e+00
1.00196e-03 2.74367e-01 -1.84670e+00
1.00196e-03 3.18397e-01 -1.80291e+00
1.00196e-03 3.65534e-01 -1.75175e+00
1.00196e-03 4.15735e-01 -1.69331e+00
1.00196e-03 4.68949e-01 -1.62786e+00
1.00196e-03 5.25124e-01 -1.55580e+00
1.00196e-03 5.84206e-01 -1.47761e+00
1.00196e-03 6.46138e-01 -1.39378e+00
1.00196e-03 7.10857e-01 -1.30481e+00
1.00196e-03 7.78302e-01 -1.21117e+00
1.00196e-03 8.48407e-01 -1.11340e+00
1.00196e-03 9.21102e-01 -1.01208e+00
1.00196e-03 9.96317e-01 -9.07895e-01
1.00196e-03 1.07398e+00 -8.01748e-01
1.00196e-03 1.15401e+00 -6.94749e-01
1.00196e-03 1.23633e+00 -5.88281e-01
1.00196e-03 1.32087e+00 -4.84000e-01
1.00196e-03 1.40753e+00 -3.83808e-01
1.00196e-03 1.49624e+00 -2.89786e-01
1.00196e-03 1.58691e+00 -2.04076e-01
1.00196e-03 1.67945e+00 -1.28718e-01
1.00196e-03 1.77376e+00 -6.54481e-02
1.00196e-03 1.86976e+00 -1.54813e-02
1.00196e-03 1.96736e+00 2.06977e-02
1.00196e-03 2.06645e+00 4.34916e-02
1.00196e-03 2.16694e+00 5.42503e-02
1.00196e-03 2.26874e+00 5.51928e-02
1.00196e-03 2.37174e+00 4.91636e-02
1.00196e-03 2.47584e+00 3.92358e-02
1.00196e-03 2.58094e+00 2.82311e-02
1.00196e-03 2.68694e+00 1.82808e-02
1.00196e-03 2.79374e+00 1.05748e-02
1.00196e-03 2.90122e+00 5.38697e-03
1.00196e-03 3.00929e+00 2.34809e-03
1.00196e-03 3.11784e+00 8.15443e-04
1.00196e-03 3.22676e+00 1.71386e-04
1.00196e-03 3.33595e+00 -3.26314e-05
1.00196e-03 3.44530e+00 -6.12820e-05
1.00196e-03 3.55470e+00 -4.17349e-05
1.00196e-03 3.66405e+00 -2.04681e-05
1.00196e-03 3.77324e+00 -7.40923e-06
1.00196e-03 3.88216e+00 -1.18235e-06
1.00196e-03 3.99071e+00 8.47192e-07
1.00196e-03 4.09878e+00 4.35383e-07
1.00196e-03 4.20626e+00 -1.12973e-06
1.00196e-03 4.31306e+00 -2.38136e-06
1.00196e-03 4.41906e+00 -1.88442e-06
1.00196e-03 4.52416e+00 -9.89002e-07
1.00196e-03 4.62826e+00 -1.07311e-05
5.27817e-03 1.00196e-03 -1.98757e+00
5.27817e-03 5.27817e-03 -1.98752e+00
5.27817e-03 1.29670e-02 -1.98723e+00
5.27817e-03 2.40627e-02 -1.98639e+00
5.27817e-03 3.85546e-02 -1.98455e+00
5.27817e-03 5.64286e-02 -1.98110e+00
5.27817e-03 7.76672e-02 -1.97535e+00
5.27817e-03 1.02250e-01 -1.96650e+00
5.27817e-03 1.30152e-01 -1.95370e+00
5.27817e-03 1.61347e-01 -1.93608e+00
5.27817e-03 1.95804e-01 -1.91281e+00
5.27817e-03 2.33490e-01 -1.88319e+00
5.27817e-03 2.74367e-01 -1.84666e+00
5.27817e-03 3.18397e-01 -1.80288e+00
5.27817e-03 3.65534e-01 -1.75172e+00
5.27817e-03 4.15735e-01 -1.69328e+00
5.27817e-03 4.68949e-01 -1.62783e+00
5.27817e-03 5.25124e-01 -1.55578e+00
5.27817e-03 5.84206e-01 -1.47759e+00
5.27817e-03 6.46138e-01 -1.39377e+00
5.27817e-03 7.10857e-01 -1.30479e+00
5.27817e-03 7.78302e-01 -1.21116e+00
5.27817e-03 8.48407e-01 -1.11339e+00
5.27817e-03 9.21102e-01 -1.01207e+00
5.27817e-03 9.96317e-01 -9.07889e-01
5.27817e-03 1.07398e+00 -8.01743e-01
