2.57122e-03 1.00196e-03
5.98287e-03 5.27817e-03
9.39374e-03 1.29670e-02
1.27959e-02 2.40627e-02
1.61856e-02 3.85546e-02
1.95595e-02 5.64286e-02
2.29143e-02 7.76672e-02
2.62468e-02 1.02250e-01
2.95536e-02 1.30152e-01
3.28315e-02 1.61347e-01
3.60773e-02 1.95804e-01
3.92879e-02 2.33490e-01
4.24601e-02 2.74367e-01
4.55908e-02 3.18397e-01
4.86770e-02 3.65534e-01
5.17156e-02 4.15735e-01
5.47037e-02 4.68949e-01
5.76383e-02 5.25124e-01
6.05166e-02 5.84206e-01
6.33358e-02 6.46138e-01
6.60931e-02 7.10857e-01
6.87858e-02 7.78302e-01
7.14113e-02 8.48407e-01
7.39670e-02 9.21102e-01
7.64505e-02 9.96317e-01
7.88593e-02 1.07398e+00
8.11910e-02 1.15401e+00
8.34434e-02 1.23633e+00
8.56142e-02 1.32087e+00
8.77014e-02 1.40753e+00
8.97029e-02 1.49624e+00
9.16168e-02 1.58691e+00
9.34411e-02 1.67945e+00
9.51741e-02 1.77376e+00
9.68142e-02 1.86976e+00
9.83596e-02 1.96736e+00
9.98090e-02 2.06645e+00
1.01161e-01 2.16694e+00
1.02414e-01 2.26874e+00
1.03567e-01 2.37174e+00
1.04618e-01 2.47584e+00
1.05568e-01 2.58094e+00
1.06414e-01 2.68694e+00
1.07157e-01 2.79374e+00
1.07794e-01 2.90122e+00
1.08327e-01 3.00929e+00
1.08753e-01 3.11784e+00
1.09073e-01 3.22676e+00
1.09287e-01 3.33595e+00
1.09394e-01 3.44530e+00
1.09394e-01 3.55470e+00
1.09287e-01 3.66405e+00
1.09073e-01 3.77324e+00
1.08753e-01 3.88216e+00
1.08327e-01 3.99071e+00
1.07794e-01 4.09878e+00
1.07157e-01 4.20626e+00
1.06414e-01 4.31306e+00
1.05568e-01 4.41906e+00
1.04618e-01 4.52416e+00
1.03567e-01 4.62826e+00
1.02414e-01 4.73126e+00
1.01161e-01 4.83306e+00
9.98090e-02 4.93355e+00
1.00196e-03 1.00196e-03 -1.96534e+00
1.00196e-03 5.27817e-03 -1.96528e+00
1.00196e-03 1.29670e-02 -1.96500e+00
1.00196e-03 2.40627e-02 -1.96416e+00
1.00196e-03 3.85546e-02 -1.96233e+00
1.00196e-03 5.64286e-02 -1.95891e+00
1.00196e-03 7.76672e-02 -1.95320e+00
1.00196e-03 1.02250e-01 -1.94442e+00
1.00196e-03 1.30152e-01 -1.93172e+00
1.00196e-03 1.61347e-01 -1.91425e+00
1.00196e-03 1.95804e-01 -1.89119e+00
1.00196e-03 2.33490e-01 -1.86187e+00
1.00196e-03 2.74367e-01 -1.82574e+00
1.00196e-03 3.18397e-01 -1.78250e+00
1.00196e-03 3.65534e-01 -1.73207e+00
1.00196e-03 4.15735e-01 -1.67458e+00
1.00196e-03 4.68949e-01 -1.61037e+00
1.00196e-03 5.25124e-01 -1.53991e+00
1.00196e-03 5.84206e-01 -1.46372e+00
1.00196e-03 6.46138e-01 -1.38235e+00
1.00196e-03 7.10857e-01 -1.29636e+00
1.00196e-03 7.78302e-01 -1.20625e+00
1.00196e-03 8.48407e-01 -1.11254e+00
1.00196e-03 9.21102e-01 -1.01576e+00
1.00196e-03 9.96317e-01 -9.16493e-01
1.00196e-03 1.07398e+00 -8.15415e-01
1.00196e-03 1.15401e+00 -7.13348e-01
1.00196e-03 1.23633e+00 -6.11278e-01
1.00196e-03 1.32087e+00 -5.10372e-01
1.00196e-03 1.40753e+00 -4.11979e-01
1.00196e-03 1.49624e+00 -3.17613e-01
1.00196e-03 1.58691e+00 -2.28906e-01
1.00196e-03 1.67945e+00 -1.47548e-01
1.00196e-03 1.77376e+00 -7.51932e-02
1.00196e-03 1.86976e+00 -1.33563e-02
1.00196e-03 1.96736e+00 3.67232e-02
1.00196e-03 2.06645e+00 7.42238e-02
1.00196e-03 2.16694e+00 9.88948e-02
1.00196e-03 2.26874e+00 1.11195e-01
1.00196e-03 2.37174e+00 1.12386e-01
1.00196e-03 2.47584e+00 1.04531e-01
