2.20390e-03 8.58820e-04
5.12818e-03 4.52415e-03
8.05178e-03 1.11146e-02
1.09679e-02 2.06252e-02
1.38734e-02 3.30468e-02
1.67653e-02 4.83674e-02
1.96408e-02 6.65719e-02
2.24972e-02 8.76427e-02
2.53316e-02 1.11559e-01
2.81413e-02 1.38298e-01
3.09234e-02 1.67832e-01
3.36753e-02 2.00134e-01
3.63944e-02 2.35172e-01
3.90778e-02 2.72911e-01
4.17231e-02 3.13315e-01
4.43277e-02 3.56344e-01
4.68889e-02 4.01956e-01
4.94043e-02 4.50106e-01
5.18714e-02 5.00748e-01
5.42878e-02 5.53832e-01
5.66512e-02 6.09306e-01
5.89593e-02 6.67116e-01
6.12097e-02 7.27206e-01
6.34003e-02 7.89516e-01
6.55290e-02 8.53986e-01
6.75937e-02 9.20552e-01
6.95923e-02 9.89151e-01
7.15229e-02 1.05971e+00
7.33836e-02 1.13217e+00
7.51726e-02 1.20646e+00
7.68882e-02 1.28249e+00
7.85287e-02 1.36021e+00
8.00924e-02 1.43953e+00
8.15778e-02 1.52037e+00
8.29836e-02 1.60266e+00
8.43083e-02 1.68631e+00
8.55506e-02 1.77124e+00
8.67093e-02 1.85738e+00
8.77833e-02 1.94463e+00
8.87715e-02 2.03292e+00
8.96729e-02 2.12215e+00
9.04868e-02 2.21224e+00
9.12122e-02 2.30309e+00
9.18486e-02 2.39463e+00
9.23951e-02 2.48676e+00
9.28514e-02 2.57939e+00
9.32170e-02 2.67243e+00
9.34915e-02 2.76579e+00
9.36747e-02 2.85938e+00
9.37663e-02 2.95311e+00
9.37663e-02 3.04689e+00
9.36747e-02 3.14062e+00
9.34915e-02 3.23421e+00
9.32170e-02 3.32757e+00
9.28514e-02 3.42061e+00
9.23951e-02 3.51324e+00
9.18486e-02 3.60537e+00
9.12122e-02 3.69691e+00
9.04868e-02 3.78776e+00
8.96729e-02 3.87785e+00
8.87715e-02 3.96708e+00
8.77833e-02 4.05537e+00
8.67093e-02 4.14262e+00
8.55506e-02 4.22876e+00
8.43083e-02 4.31369e+00
8.58820e-04 8.58820e-04 -2.03517e+00
8.58820e-04 4.52415e-03 -2.03513e+00
8.58820e-04 1.11146e-02 -2.03492e+00
8.58820e-04 2.06252e-02 -2.03429e+00
8.58820e-04 3.30468e-02 -2.03291e+00
8.58820e-04 4.83674e-02 -2.03034e+00
8.58820e-04 6.65719e-02 -2.02605e+00
8.58820e-04 8.76427e-02 -2.01941e+00
8.58820e-04 1.11559e-01 -2.00978e+00
8.58820e-04 1.38298e-01 -1.99644e+00
8.58820e-04 1.67832e-01 -1.97871e+00
8.58820e-04 2.00134e-01 -1.95591e+00
8.58820e-04 2.35172e-01 -1.92747e+00
8.58820e-04 2.72911e-01 -1.89292e+00
8.58820e-04 3.13315e-01 -1.85193e+00
8.58820e-04 3.56344e-01 -1.80432e+00
8.58820e-04 4.01956e-01 -1.75003e+00
8.58820e-04 4.50106e-01 -1.68916e+00
8.58820e-04 5.00748e-01 -1.62187e+00
8.58820e-04 5.53832e-01 -1.54836e+00
8.58820e-04 6.09306e-01 -1.46889e+00
8.58820e-04 6.67116e-01 -1.38370e+00
8.58820e-04 7.27206e-01 -1.29309e+00
8.58820e-04 7.89516e-01 -1.19737e+00
8.58820e-04 8.53986e-01 -1.09697e+00
8.58820e-04 9.20552e-01 -9.92475e-01
8.58820e-04 9.89151e-01 -8.84694e-01
8.58820e-04 1.05971e+00 -7.74728e-01
8.58820e-04 1.13217e+00 -6.64024e-01
8.58820e-04 1.20646e+00 -5.54403e-01
8.58820e-04 1.28249e+00 -4.48055e-01
8.58820e-04 1.36021e+00 -3.47471e-01
8.58820e-04 1.43953e+00 -2.55313e-01
8.58820e-04 1.52037e+00 -1.74201e-01
8.58820e-04 1.60266e+00 -1.06404e-01
8.58820e-04 1.68631e+00 -5.34769e-02
8.58820e-04 1.77124e+00 -1.58763e-02
8.58820e-04 1.85738e+00 7.30859e-03
8.58820e-04 1.94463e+00 1.83743e-02
8.58820e-04 2.03292e+00 2.06467e-02
8.58820e-04 2.12215e+00 1.77760e-02
8.58820e-04 2.21224e+00 1.29215e-02
8.58820e-04 2.30309e+00 8.18883e-03
8.58820e-04 2.39463e+00 4.55741e-03
8.58820e-04 2.48676e+00 2.20129e-03
8.58820e-04 2.57939e+00 8.94484e-04
8.58820e-04 2.67243e+00 2.89225e-04
8.58820e-04 2.76579e+00 6.59378e-05
8.58820e-04 2.85938e+00 5.67452e-06
8.58820e-04 2.95311e+00 -3.26433e-06
8.58820e-04 3.04689e+00 -2.02949e-06
8.58820e-04 3.14062e+00 -6.74683e-07
8.58820e-04 3.23421e+00 -1.56176e-07
8.58820e-04 3.32757e+00 -2.49609e-08
8.58820e-04 3.42061e+00 -2.00796e-09
8.58820e-04 3.51324e+00 2.56999e-10
8.58820e-04 3.60537e+00 1.36421e-10
8.58820e-04 3.69691e+00 3.04238e-11
8.58820e-04 3.78776e+00 4.70776e-12
8.58820e-04 3.87785e+00 5.54642e-13
8.58820e-04 3.96708e+00 5.24466e-14
8.58820e-04 4.05537e+00 4.40017e-15
8.58820e-04 4.14262e+00 3.50005e-16
8.58820e-04 4.22876e+00 1.43217e-17
8.58820e-04 4.31369e+00 -6.58280e-19
4.52415e-03 8.58820e-04 -2.03513e+00
4.52415e-03 4.52415e-03 -2.03509e+00
4.52415e-03 1.11146e-02 -2.03488e+00
4.52415e-03 2.06252e-02 -2.03425e+00
4.52415e-03 3.30468e-02 -2.03287e+00
4.52415e-03 4.83674e-02 -2.03030e+00
4.52415e-03 6.65719e-02 -2.02601e+00
4.52415e-03 8.76427e-02 -2.01937e+00
4.52415e-03 1.11559e-01 -2.00974e+00
4.52415e-03 1.38298e-01 -1.99641e+00
4.52415e-03 1.67832e-01 -1.97867e+00
4.52415e-03 2.00134e-01 -1.95588e+00
4.52415e-03 2.35172e-01 -1.92744e+00
4.52415e-03 2.72911e-01 -1.89289e+00
4.52415e-03 3.13315e-01 -1.85190e+00
4.52415e-03 3.56344e-01 -1.80429e+00
4.52415e-03 4.01956e-01 -1.75001e+00
4.52415e-03 4.50106e-01 -1.68914e+00
4.52415e-03 5.00748e-01 -1.62185e+00
4.52415e-03 5.53832e-01 -1.54835e+00
4.52415e-03 6.09306e-01 -1.46888e+00
4.52415e-03 6.67116e-01 -1.38369e+00
4.52415e-03 7.27206e-01 -1.29308e+00
4.52415e-03 7.89516e-01 -1.19736e+00
4.52415e-03 8.53986e-01 -1.09696e+00
4.52415e-03 9.20552e-01 -9.92472e-01
4.52415e-03 9.89151e-01 -8.84692e-01
4.52415e-03 1.05971e+00 -7.74727e-01
4.52415e-03 1.13217e+00 -6.64023e-01
4.52415e-03 1.20646e+00 -5.54403e-01
4.52415e-03 1.28249e+00 -4.48056e-01
4.52415e-03 1.36021e+00 -3.47472e-01
4.52415e-03 1.43953e+00 -2.55314e-01
4.52415e-03 1.52037e+00 -1.74202e-01
4.52415e-03 1.60266e+00 -1.06405e-01
4.52415e-03 1.68631e+00 -5.34773e-02
4.52415e-03 1.77124e+00 -1.58764e-02
4.52415e-03 1.85738e+00 7.30868e-03
4.52415e-03 1.94463e+00 1.83745e-02
4.52415e-03 2.03292e+00 2.06470e-02
4.52415e-03 2.12215e+00 1.77764e-02
4.52415e-03 2.21224e+00 1.29217e-02
4.52415e-03 2.30309e+00 8.18902e-03
4.52415e-03 2.39463e+00 4.55754e-03
4.52415e-03 2.48676e+00 2.20136e-03
4.52415e-03 2.57939e+00 8.94521e-04
4.52415e-03 2.67243e+00 2.89241e-04
4.52415e-03 2.76579e+00 6.59435e-05
4.52415e-03 2.85938e+00 5.67626e-06
4.52415e-03 2.95311e+00 -3.26389e-06
4.52415e-03 3.04689e+00 -2.02940e-06
4.52415e-03 3.14062e+00 -6.74665e-07
4.52415e-03 3.23421e+00 -1.56173e-07
4.52415e-03 3.32757e+00 -2.49602e-08
4.52415e-03 3.42061e+00 -2.00777e-09
4.52415e-03 3.51324e+00 2.57045e-10
4.52415e-03 3.60537e+00 1.36431e-10
4.52415e-03 3.69691e+00 3.04255e-11
4.52415e-03 3.78776e+00 4.70800e-12
4.52415e-03 3.87785e+00 5.54671e-13
4.52415e-03 3.96708e+00 5.24494e-14
4.52415e-03 4.05537e+00 4.40039e-15
