2.20390e-03 8.58820e-04
5.12818e-03 4.52415e-03
8.05178e-03 1.11146e-02
1.09679e-02 2.06252e-02
1.38734e-02 3.30468e-02
1.67653e-02 4.83674e-02
1.96408e-02 6.65719e-02
2.24972e-02 8.76427e-02
2.53316e-02 1.11559e-01
2.81413e-02 1.38298e-01
3.09234e-02 1.67832e-01
3.36753e-02 2.00134e-01
3.63944e-02 2.35172e-01
3.90778e-02 2.72911e-01
4.17231e-02 3.13315e-01
4.43277e-02 3.56344e-01
4.68889e-02 4.01956e-01
4.94043e-02 4.50106e-01
5.18714e-02 5.00748e-01
5.42878e-02 5.53832e-01
5.66512e-02 6.09306e-01
5.89593e-02 6.67116e-01
6.12097e-02 7.27206e-01
6.34003e-02 7.89516e-01
6.55290e-02 8.53986e-01
6.75937e-02 9.20552e-01
6.95923e-02 9.89151e-01
7.15229e-02 1.05971e+00
7.33836e-02 1.13217e+00
7.51726e-02 1.20646e+00
7.68882e-02 1.28249e+00
7.85287e-02 1.36021e+00
8.00924e-02 1.43953e+00
8.15778e-02 1.52037e+00
8.29836e-02 1.60266e+00
8.43083e-02 1.68631e+00
8.55506e-02 1.77124e+00
8.67093e-02 1.85738e+00
8.77833e-02 1.94463e+00
8.87715e-02 2.03292e+00
8.96729e-02 2.12215e+00
9.04868e-02 2.21224e+00
9.12122e-02 2.30309e+00
9.18486e-02 2.39463e+00
9.23951e-02 2.48676e+00
9.28514e-02 2.57939e+00
9.32170e-02 2.67243e+00
9.34915e-02 2.76579e+00
9.36747e-02 2.85938e+00
9.37663e-02 2.95311e+00
9.37663e-02 3.04689e+00
9.36747e-02 3.14062e+00
9.34915e-02 3.23421e+00
9.32170e-02 3.32757e+00
9.28514e-02 3.42061e+00
9.23951e-02 3.51324e+00
9.18486e-02 3.60537e+00
9.12122e-02 3.69691e+00
9.04868e-02 3.78776e+00
8.96729e-02 3.87785e+00
8.87715e-02 3.96708e+00
8.77833e-02 4.05537e+00
8.67093e-02 4.14262e+00
8.58820e-04 8.58820e-04 2.14487e-12
8.58820e-04 4.52415e-03 5.95085e-11
8.58820e-04 1.11146e-02 3.58972e-10
8.58820e-04 2.06252e-02 1.23427e-09
8.58820e-04 3.30468e-02 3.15806e-09
8.58820e-04 4.83674e-02 6.72288e-09
8.58820e-04 6.65719e-02 1.26038e-08
8.58820e-04 8.76427e-02 2.14957e-08
8.58820e-04 1.11559e-01 3.40217e-08
8.58820e-04 1.38298e-01 5.06146e-08
8.58820e-04 1.67832e-01 7.13868e-08
8.58820e-04 2.00134e-01 9.60131e-08
8.58820e-04 2.35172e-01 1.23662e-07
8.58820e-04 2.72911e-01 1.53009e-07
8.58820e-04 3.13315e-01 1.82350e-07
8.58820e-04 3.56344e-01 2.09804e-07
8.58820e-04 4.01956e-01 2.33568e-07
8.58820e-04 4.50106e-01 2.52159e-07
8.58820e-04 5.00748e-01 2.64591e-07
8.58820e-04 5.53832e-01 2.70454e-07
8.58820e-04 6.09306e-01 2.69885e-07
8.58820e-04 6.67116e-01 2.63466e-07
8.58820e-04 7.27206e-01 2.52076e-07
8.58820e-04 7.89516e-01 2.36753e-07
8.58820e-04 8.53986e-01 2.18564e-07
8.58820e-04 9.20552e-01 1.98520e-07
8.58820e-04 9.89151e-01 1.77525e-07
8.58820e-04 1.05971e+00 1.56341e-07
8.58820e-04 1.13217e+00 1.35588e-07
8.58820e-04 1.20646e+00 1.15741e-07
8.58820e-04 1.28249e+00 9.71442e-08
8.58820e-04 1.36021e+00 8.00241e-08
8.58820e-04 1.43953e+00 6.45096e-08
8.58820e-04 1.52037e+00 5.06579e-08
8.58820e-04 1.60266e+00 3.84843e-08
8.58820e-04 1.68631e+00 2.79939e-08
8.58820e-04 1.77124e+00 1.92045e-08
8.58820e-04 1.85738e+00 1.21472e-08
8.58820e-04 1.94463e+00 6.83562e-09
8.58820e-04 2.03292e+00 3.20580e-09
8.58820e-04 2.12215e+00 1.05770e-09
8.58820e-04 2.21224e+00 4.49102e-11
8.58820e-04 2.30309e+00 -2.57550e-10
8.58820e-04 2.39463e+00 -2.33785e-10
8.58820e-04 2.48676e+00 -1.32666e-10
8.58820e-04 2.57939e+00 -5.70058e-11
8.58820e-04 2.67243e+00 -1.98129e-11
8.58820e-04 2.76579e+00 -5.76473e-12
8.58820e-04 2.85938e+00 -1.42071e-12
8.58820e-04 2.95311e+00 -2.92789e-13
8.58820e-04 3.04689e+00 -4.81592e-14
8.58820e-04 3.14062e+00 -5.48530e-15
8.58820e-04 3.23421e+00 -1.35553e-16
8.58820e-04 3.32757e+00 1.20615e-16
8.58820e-04 3.42061e+00 3.59336e-17
8.58820e-04 3.51324e+00 6.28307e-18
8.58820e-04 3.60537e+00 7.83433e-19
8.58820e-04 3.69691e+00 7.74075e-20
8.58820e-04 3.78776e+00 7.69286e-21
8.58820e-04 3.87785e+00 4.23837e-22
8.58820e-04 3.96708e+00 -1.36981e-22
8.58820e-04 4.05537e+00 6.65404e-23
8.58820e-04 4.14262e+00 1.83171e-23
4.52415e-03 8.58820e-04 5.95085e-11
4.52415e-03 4.52415e-03 1.65119e-09
4.52415e-03 1.11146e-02 9.96058e-09
4.52415e-03 2.06252e-02 3.42480e-08
4.52415e-03 3.30468e-02 8.76288e-08
4.52415e-03 4.83674e-02 1.86544e-07
4.52415e-03 6.65719e-02 3.49726e-07
4.52415e-03 8.76427e-02 5.96458e-07
4.52415e-03 1.11559e-01 9.44028e-07
4.52415e-03 1.38298e-01 1.40445e-06
4.52415e-03 1.67832e-01 1.98084e-06
4.52415e-03 2.00134e-01 2.66418e-06
4.52415e-03 2.35172e-01 3.43140e-06
4.52415e-03 2.72911e-01 4.24575e-06
4.52415e-03 3.13315e-01 5.05995e-06
4.52415e-03 3.56344e-01 5.82181e-06
4.52415e-03 4.01956e-01 6.48127e-06
4.52415e-03 4.50106e-01 6.99718e-06
4.52415e-03 5.00748e-01 7.34220e-06
4.52415e-03 5.53832e-01 7.50494e-06
4.52415e-03 6.09306e-01 7.48921e-06
4.52415e-03 6.67116e-01 7.31111e-06
4.52415e-03 7.27206e-01 6.99509e-06
4.52415e-03 7.89516e-01 6.56989e-06
4.52415e-03 8.53986e-01 6.06516e-06
4.52415e-03 9.20552e-01 5.50898e-06
4.52415e-03 9.89151e-01 4.92636e-06
4.52415e-03 1.05971e+00 4.33852e-06
4.52415e-03 1.13217e+00 3.76262e-06
4.52415e-03 1.20646e+00 3.21187e-06
4.52415e-03 1.28249e+00 2.69581e-06
4.52415e-03 1.36021e+00 2.22072e-06
4.52415e-03 1.43953e+00 1.79019e-06
4.52415e-03 1.52037e+00 1.40579e-06
4.52415e-03 1.60266e+00 1.06797e-06
4.52415e-03 1.68631e+00 7.76854e-07
4.52415e-03 1.77124e+00 5.32940e-07
4.52415e-03 1.85738e+00 3.37095e-07
4.52415e-03 1.94463e+00 1.89695e-07
4.52415e-03 2.03292e+00 8.89640e-08
4.52415e-03 2.12215e+00 2.93523e-08
4.52415e-03 2.21224e+00 1.24632e-09
4.52415e-03 2.30309e+00 -7.14727e-09
4.52415e-03 2.39463e+00 -6.48778e-09
4.52415e-03 2.48676e+00 -3.68161e-09
4.52415e-03 2.57939e+00 -1.58198e-09
4.52415e-03 2.67243e+00 -5.49830e-10
4.52415e-03 2.76579e+00 -1.59978e-10
4.52415e-03 2.85938e+00 -3.94263e-11
4.52415e-03 2.95311e+00 -8.12524e-12
4.52415e-03 3.04689e+00 -1.33648e-12
4.52415e-03 3.14062e+00 -1.52224e-13
4.52415e-03 3.23421e+00 -3.76192e-15
4.52415e-03 3.32757e+00 3.34719e-15
4.52415e-03 3.42061e+00 9.97195e-16
4.52415e-03 3.51324e+00 1.74362e-16
4.52415e-03 3.60537e+00 2.17411e-17
4.52415e-03 3.69691e+00 2.14814e-18
4.52415e-03 3.78776e+00 2.13484e-19
4.52415e-03 3.87785e+00 1.17623e-20
4.52415e-03 3.96708e+00 -3.80126e-21
4.52415e-03 4.05537e+00 1.84644e-21
4.52415e-03 4.14262e+00 5.08333e-22
1.11146e-02 8.58820e-04 3.58972e-10
1.11146e-02 4.52415e-03 9.96058e-09
1.11146e-02 1.11146e-02 6.00861e-08
1.11146e-02 2.06252e-02 2.06597e-07
1.11146e-02 3.30468e-02 5.28612e-07
1.11146e-02 4.83674e-02 1.12531e-06
1.11146e-02 6.65719e-02 2.10970e-06
1.11146e-02 8.76427e-02 3.59812e-06
1.11146e-02 1.11559e-01 5.69489e-06
1.11146e-02 1.38298e-01 8.47251e-06
1.11146e-02 1.67832e-01 1.19499e-05
